amount,create date,date,invoice,method,notes,payment,payment id,reference,source,state
450.00,2023-09-13T11:11:05.000Z,2023-09-12T04:00:00.000Z,21515,credit_card,,,23173,,internal,active
450.00,2023-09-13T18:27:09.000Z,2023-09-13T18:27:02.000Z,18409,bank_transfer,,,24244,,internal,active
2995.00,2023-09-13T18:34:55.000Z,2023-09-13T18:34:50.000Z,21185,bank_transfer,,,24247,,internal,active
1689.35,2023-09-13T19:09:57.000Z,2023-09-13T19:09:17.000Z,24347,email_transfer,,,24359,,internal,active
3995.00,2023-09-14T13:02:58.000Z,2023-09-14T12:58:34.000Z,20313,credit_card,,,25198,Mastercard ,internal,active
2495.00,2023-09-14T14:44:21.000Z,2023-09-14T14:43:40.000Z,16003,email_transfer,,,25596,,internal,active
450.00,2023-09-14T18:54:32.000Z,2023-09-12T04:00:00.000Z,17426,cheque,,,26610,,internal,active
12595.00,2023-09-14T18:54:42.000Z,2023-09-14T18:54:02.000Z,17423,cheque,,,26611,,internal,active
13045.00,2023-09-14T19:25:48.000Z,2023-09-14T19:25:03.000Z,14600,cheque,,,26691,,internal,active
12595.00,2023-09-14T19:41:06.000Z,2023-09-13T04:00:00.000Z,14074,cheque,,,26721,,internal,active
300.00,2023-09-15T13:34:13.000Z,2023-09-15T13:34:08.000Z,25122,bank_transfer,,,27833,,internal,active
6995.00,2023-09-15T14:09:49.000Z,2023-09-15T14:09:34.000Z,16082,credit_card,,,28085,,internal,active
200.00,2023-09-15T15:06:37.000Z,2023-09-15T15:06:32.000Z,25876,credit_card,,,28219,,internal,active
2000.00,2023-09-15T15:11:39.000Z,2023-09-15T15:10:54.000Z,13101,credit_card,,,28244,,internal,active
495.00,2023-09-15T15:11:56.000Z,2023-09-15T15:11:15.000Z,13101,credit_card,,,28245,,internal,active
300.00,2023-09-15T15:21:10.000Z,2023-09-15T15:21:04.000Z,25387,credit_card,,,28273,,internal,active
1689.35,2023-09-15T15:46:25.000Z,2023-09-15T15:46:02.000Z,24377,credit_card,,,28324,Visa,internal,active
2495.00,2023-09-15T15:48:37.000Z,2023-09-15T15:48:27.000Z,21666,credit_card,,,28326,Visa,internal,active
17395.00,2023-09-15T16:28:16.000Z,2023-09-15T16:28:02.000Z,19534,cheque,,,28381,,internal,active
3650.00,2023-09-15T17:41:54.000Z,2023-09-15T17:38:57.000Z,26541,cheque,cheque # 72619123,,28658,,internal,active
150.00,2023-09-15T19:05:59.000Z,2023-09-15T19:05:07.000Z,28196,credit_card,Visa,,28852,,internal,active
3995.00,2023-09-15T19:22:30.000Z,2023-09-15T19:21:30.000Z,20697,cheque,Certified Cheque,,28892,,internal,active
1200.00,2023-09-15T19:43:37.000Z,2023-09-15T19:43:32.000Z,19455,bank_transfer,,,28921,,internal,active
26895.00,2023-09-15T19:47:24.000Z,2023-09-15T19:46:23.000Z,15644,cheque,,,28935,,internal,active
950.00,2023-09-15T19:47:37.000Z,2023-09-15T19:46:54.000Z,15644,cheque,,,28936,,internal,active
339.00,2023-09-15T21:34:51.000Z,2023-09-15T21:34:02.000Z,21886,credit_card,Visa,,29069,,internal,active
3500.00,2023-09-18T13:12:38.000Z,2023-09-15T04:00:00.000Z,17597,email_transfer,,,29460,,internal,active
150.00,2023-09-18T13:25:45.000Z,2023-09-13T04:00:00.000Z,14162,email_transfer,,,29463,,internal,active
400.00,2023-09-18T14:32:11.000Z,2023-09-18T14:31:25.000Z,23539,email_transfer,,,29775,,internal,active
6298.00,2023-09-18T16:09:53.000Z,2023-09-18T16:09:44.000Z,13369,cheque,,,29964,,internal,active
1689.35,2023-09-18T18:05:25.000Z,2023-09-18T18:05:19.000Z,22515,email_transfer,,,30532,,internal,active
450.00,2023-09-18T18:10:08.000Z,2023-09-18T18:09:56.000Z,14093,email_transfer,,,30560,,internal,active
150.00,2023-09-18T19:04:58.000Z,2023-09-18T19:04:52.000Z,30602,email_transfer,,,30664,,internal,active
6000.00,2023-09-18T19:43:51.000Z,2023-09-18T19:43:37.000Z,21185,email_transfer,,,30759,,internal,deleted
2995.00,2023-09-18T19:59:57.000Z,2023-09-18T19:59:43.000Z,21185,email_transfer,,,30811,,internal,deleted
1689.35,2023-09-19T13:34:01.000Z,2023-09-19T13:33:53.000Z,28765,email_transfer,,,31482,,internal,active
540.00,2023-09-19T14:12:32.000Z,2023-09-19T14:12:26.000Z,19639,credit_card,Mastercard,,31747,,internal,active
300.00,2023-09-20T16:18:47.000Z,2023-09-20T16:17:45.000Z,28931,credit_card,Paid by CC at campus - forwarded to payables.,,34484,,internal,active
3000.00,2023-09-20T16:42:19.000Z,2023-09-20T16:42:06.000Z,28536,email_transfer,,,34575,,internal,active
8995.00,2023-09-20T16:47:35.000Z,2023-09-20T16:46:32.000Z,27851,credit_card,,,34597,,internal,active
2495.00,2023-09-20T17:21:35.000Z,2023-09-20T17:21:28.000Z,21666,credit_card,,,34938,,internal,deleted
3000.00,2023-09-20T18:41:41.000Z,2023-09-20T18:41:33.000Z,27817,email_transfer,,,35208,,internal,active
300.00,2023-09-20T18:45:01.000Z,2023-09-20T18:44:50.000Z,34305,email_transfer,,,35246,,internal,active
400.00,2023-09-20T18:45:36.000Z,2023-09-20T18:45:31.000Z,34312,email_transfer,,,35249,,internal,active
19795.00,2023-09-21T16:05:01.000Z,2023-09-21T16:03:56.000Z,19990,bank_transfer,,,36876,,internal,active
1495.00,2023-09-21T17:55:29.000Z,2023-07-19T04:00:00.000Z,37528,credit_card,,,37547,,internal,active
11000.00,2023-09-21T18:45:58.000Z,2023-09-21T18:45:49.000Z,15656,cheque,,,37817,,internal,active
8995.00,2023-09-22T14:25:56.000Z,2023-09-22T14:25:06.000Z,35191,other,,,39047,,internal,active
300.00,2023-09-22T15:13:43.000Z,2023-09-22T15:12:51.000Z,39026,credit_card,Paid with Visa ,,39225,,internal,active
900.00,2023-09-22T16:05:10.000Z,2023-09-22T16:04:16.000Z,37094,credit_card,,,39464,,internal,active
3500.00,2023-09-22T16:32:25.000Z,2023-09-22T16:29:13.000Z,21144,credit_card,Visa,,39566,,internal,active
400.00,2023-09-25T12:10:16.000Z,2023-09-15T04:00:00.000Z,41325,email_transfer,,,41327,,internal,active
400.00,2023-09-25T12:20:10.000Z,2023-09-22T04:00:00.000Z,39106,email_transfer,,,41340,,internal,active
2000.00,2023-09-25T13:30:44.000Z,2023-09-25T13:30:36.000Z,17783,email_transfer,,,41453,,internal,active
995.00,2023-09-25T13:40:11.000Z,2023-09-25T13:40:04.000Z,27817,email_transfer,,,41455,,internal,active
1689.35,2023-09-25T13:49:45.000Z,2023-09-20T04:00:00.000Z,21328,credit_card,,,41487,,internal,active
3000.00,2023-09-25T14:17:46.000Z,2023-09-25T14:17:42.000Z,27817,email_transfer,,,41789,,internal,active
8345.00,2023-09-25T14:18:10.000Z,2023-09-20T04:00:00.000Z,14066,email_transfer,,,41790,,internal,active
27395.00,2023-09-25T14:25:38.000Z,2023-09-21T04:00:00.000Z,19701,email_transfer,,,41804,,internal,active
9795.00,2023-09-25T14:34:55.000Z,2023-09-25T14:34:11.000Z,17871,email_transfer,,,41829,,internal,active
500.00,2023-09-25T15:02:35.000Z,2023-09-25T15:01:48.000Z,14077,email_transfer,,,41903,,internal,active
4500.00,2023-09-25T15:49:39.000Z,2023-09-25T15:49:19.000Z,18433,credit_card,,,42148,,internal,active
19795.00,2023-09-25T16:31:24.000Z,2023-09-25T16:31:19.000Z,31810,cheque,,,42258,,internal,active
12595.00,2023-09-25T16:34:08.000Z,2023-09-25T16:34:00.000Z,21590,cheque,,,42273,,internal,active
6495.00,2023-09-25T16:37:52.000Z,2023-09-25T16:37:47.000Z,21850,cheque,,,42282,,internal,active
13095.00,2023-09-25T16:40:37.000Z,2023-09-25T16:40:34.000Z,14077,cheque,,,42290,,internal,active
250.00,2023-09-25T16:42:37.000Z,2023-09-25T16:41:55.000Z,31338,email_transfer,,,42293,,internal,active
1689.35,2023-09-25T17:56:06.000Z,2023-09-25T17:55:51.000Z,34953,credit_card,,,42679,,internal,active
1689.35,2023-09-26T13:15:35.000Z,2023-09-26T13:15:26.000Z,33412,email_transfer,,,44143,,internal,active
4995.00,2023-09-26T13:21:43.000Z,2023-09-26T13:21:38.000Z,17783,email_transfer,,,44171,,internal,active
200.00,2023-09-26T14:10:36.000Z,2023-09-26T14:09:38.000Z,21865,credit_card,send form over to payables,,44687,,internal,active
1124.35,2023-09-26T14:50:01.000Z,2023-09-26T14:49:18.000Z,44775,credit_card,,,44814,,internal,active
13000.00,2023-09-26T16:23:24.000Z,2023-09-26T16:23:12.000Z,18452,cheque,,,45173,,internal,active
1689.35,2023-09-26T17:16:00.000Z,2023-09-26T17:15:34.000Z,30659,credit_card,Employer Visa,,45860,091984,internal,active
1689.35,2023-09-27T12:49:26.000Z,2023-09-27T12:49:21.000Z,13402,email_transfer,,,47603,,internal,active
8995.00,2023-09-27T13:50:01.000Z,2023-09-27T13:48:49.000Z,44179,other,Bank Draft,,47814,,internal,active
2000.00,2023-09-27T15:14:10.000Z,2023-09-27T15:13:58.000Z,36012,email_transfer,,,48401,,internal,active
10000.00,2023-09-27T18:35:21.000Z,2023-09-27T18:35:14.000Z,49689,cash,,,49738,,internal,active
1689.35,2023-09-27T19:44:59.000Z,2023-09-27T19:44:42.000Z,47217,credit_card,PAID IN FULL,,49950,,internal,active
23995.00,2023-09-27T20:12:01.000Z,2023-09-27T20:11:41.000Z,31422,cheque,,,50252,,internal,active
150.00,2023-09-27T20:37:03.000Z,2023-09-27T20:35:29.000Z,50348,credit_card,paid by cc in campus. sending form to payables to process,,50429,,internal,active
1124.35,2023-09-27T21:48:39.000Z,2023-09-27T21:48:32.000Z,36100,credit_card,PAID IN FULL,,50616,,internal,active
1689.35,2023-09-28T13:15:21.000Z,2023-09-28T13:15:54.000Z,30461,email_transfer,paid in full,,51052,,internal,active
2000.00,2023-09-28T13:23:54.000Z,2023-09-28T13:23:42.000Z,36012,email_transfer,,,51062,,internal,active
2495.00,2023-09-28T13:33:40.000Z,2023-09-28T13:33:36.000Z,42005,email_transfer,,,51120,,internal,active
3000.00,2023-09-28T13:35:22.000Z,2023-09-28T13:35:15.000Z,41264,email_transfer,,,51140,,internal,active
2495.00,2023-09-28T13:37:26.000Z,2023-09-28T13:37:19.000Z,32869,email_transfer,,,51152,,internal,active
450.00,2023-09-28T13:46:43.000Z,2023-09-28T13:46:35.000Z,39057,email_transfer,,,51159,,internal,active
1689.35,2023-09-28T15:02:56.000Z,2023-09-28T15:02:44.000Z,33966,email_transfer,,,51819,,internal,active
194.35,2023-09-28T15:05:49.000Z,2023-09-28T15:05:45.000Z,51776,email_transfer,,,51832,,internal,active
150.00,2023-09-28T15:37:50.000Z,2023-09-28T15:37:01.000Z,47640,credit_card,paid at campus via CC,,51919,,internal,active
13045.00,2023-09-28T15:39:27.000Z,2023-09-25T04:00:00.000Z,13427,cheque,,,51922,,internal,active
4495.00,2023-09-28T15:42:22.000Z,2023-09-25T04:00:00.000Z,14054,credit_card,Master Card,,51923,,internal,active
4995.00,2023-09-28T16:34:37.000Z,2023-09-28T16:34:28.000Z,39057,cheque,,,52056,,internal,active
12595.00,2023-09-28T16:36:15.000Z,2023-09-28T16:36:04.000Z,24390,cheque,,,52057,,internal,active
150.00,2023-09-28T16:45:50.000Z,2023-09-28T16:45:06.000Z,32947,credit_card,,,52132,,internal,active
300.00,2023-09-28T16:46:42.000Z,2023-09-28T16:45:50.000Z,32951,credit_card,paid via CC form in campus,,52135,,internal,active
194.35,2023-09-28T17:05:42.000Z,2023-09-28T17:04:55.000Z,14171,email_transfer,,,52452,,internal,deleted
2000.00,2023-09-29T12:49:17.000Z,2023-09-29T12:49:09.000Z,36012,email_transfer,,,54336,,internal,active
3000.00,2023-09-29T12:53:59.000Z,2023-09-29T12:53:20.000Z,41264,email_transfer,,,54342,,internal,active
1689.35,2023-09-29T13:47:47.000Z,2023-09-29T13:47:44.000Z,36040,email_transfer,,,54949,,internal,active
1689.35,2023-09-29T14:25:00.000Z,2023-09-29T14:24:56.000Z,44670,credit_card,,,55443,,internal,active
8045.00,2023-10-02T12:49:18.000Z,2023-10-02T12:49:13.000Z,4727,cash,,,58288,,internal,deleted
2000.00,2023-10-02T12:52:07.000Z,2023-10-02T12:51:55.000Z,36012,email_transfer,,,58289,,internal,active
3995.00,2023-10-02T12:52:54.000Z,2023-10-02T12:52:46.000Z,31345,email_transfer,,,58290,,internal,active
3000.00,2023-10-02T12:54:17.000Z,2023-10-02T12:54:07.000Z,28536,email_transfer,,,58291,,internal,active
995.00,2023-10-02T12:55:20.000Z,2023-10-02T12:55:13.000Z,41264,email_transfer,,,58292,,internal,active
5000.00,2023-10-02T12:57:19.000Z,2023-10-02T12:57:15.000Z,31345,email_transfer,,,58293,,internal,active
1689.35,2023-10-02T13:08:32.000Z,2023-09-29T04:00:00.000Z,47691,credit_card,,,58294,,internal,active
1689.35,2023-10-02T13:13:44.000Z,2023-09-29T04:00:00.000Z,51677,email_transfer,,,58300,,internal,active
450.00,2023-10-02T14:50:14.000Z,2023-09-29T04:00:00.000Z,14074,credit_card,Master Card,,58862,,internal,active
1000.00,2023-10-02T16:09:23.000Z,2023-10-02T16:09:14.000Z,36012,email_transfer,,,59048,,internal,active
3000.00,2023-10-02T16:55:39.000Z,2023-10-02T16:55:27.000Z,58043,email_transfer,,,59201,,internal,active
6995.00,2023-10-02T17:51:12.000Z,2023-10-02T17:51:38.000Z,44223,credit_card,Paid in full,,59659,,internal,active
2000.00,2023-10-03T13:36:44.000Z,2023-10-03T13:36:36.000Z,21058,email_transfer,,,61309,,internal,active
450.00,2023-10-03T13:47:00.000Z,2023-10-03T13:46:48.000Z,52887,email_transfer,,,61402,,internal,active
150.00,2023-10-03T15:38:10.000Z,2023-10-03T15:37:20.000Z,62149,credit_card,,,62158,,internal,active
1995.00,2023-10-03T15:39:27.000Z,2023-10-03T15:38:41.000Z,56635,credit_card,,,62173,,internal,active
3000.00,2023-10-03T16:36:24.000Z,2023-10-03T16:36:13.000Z,53100,email_transfer,,,62441,,internal,active
4500.00,2023-10-03T16:50:32.000Z,2023-10-03T16:51:13.000Z,24273,credit_card,Visa,,62628,,internal,active
6995.00,2023-10-03T16:54:28.000Z,2023-10-03T16:53:40.000Z,19473,credit_card,,,62645,,internal,active
6995.00,2023-10-03T17:21:26.000Z,2023-10-03T17:21:23.000Z,13408,cheque,,,62991,,internal,active
1689.35,2023-10-03T19:21:00.000Z,2023-10-03T19:20:57.000Z,63120,email_transfer,,,63577,,internal,active
1124.35,2023-10-03T19:22:12.000Z,2023-10-03T19:22:07.000Z,62258,email_transfer,,,63578,,internal,active
3000.00,2023-10-03T19:32:03.000Z,2023-10-03T19:31:53.000Z,58043,email_transfer,,,63628,,internal,active
450.00,2023-10-03T19:34:33.000Z,2023-10-03T19:34:30.000Z,59793,email_transfer,,,63633,,internal,active
450.00,2023-10-03T19:35:14.000Z,2023-10-03T19:35:10.000Z,57116,email_transfer,,,63634,,internal,active
2495.00,2023-10-03T19:40:38.000Z,2023-10-03T19:40:35.000Z,50934,email_transfer,,,63671,,internal,active
2495.00,2023-10-03T19:48:28.000Z,2023-10-03T19:48:25.000Z,56074,email_transfer,,,63736,,internal,active
6995.00,2023-10-04T13:29:45.000Z,2023-10-04T13:28:50.000Z,48707,credit_card,,,64738,PAID IN FULL,internal,active
1689.35,2023-10-04T13:33:51.000Z,2023-10-04T13:33:48.000Z,63301,email_transfer,,,64741,,internal,active
3650.00,2023-10-04T13:37:59.000Z,2023-10-04T13:37:08.000Z,55863,credit_card,,,64745,PAID IN FULL,internal,active
1689.35,2023-10-04T13:45:47.000Z,2023-10-04T13:44:40.000Z,39462,credit_card,Visa,,64750,,internal,active
1689.35,2023-10-04T13:52:27.000Z,2023-10-03T04:00:00.000Z,55930,credit_card,Visa,,64847,,internal,active
200.00,2023-10-04T13:53:26.000Z,2023-10-03T04:00:00.000Z,58651,credit_card,Visa,,64858,,internal,active
1689.35,2023-10-04T13:54:50.000Z,2023-10-03T04:00:00.000Z,38741,credit_card,Visa,,64893,,internal,active
200.00,2023-10-04T14:37:46.000Z,2023-10-04T14:37:40.000Z,21602,credit_card,,,65369,,internal,active
4500.00,2023-10-04T14:58:30.000Z,2023-10-04T14:58:25.000Z,58305,credit_card,,,65415,,internal,active
12595.00,2023-10-04T16:16:55.000Z,2023-10-04T16:16:46.000Z,30155,cheque,,,65659,,internal,active
4172.50,2023-10-04T16:51:08.000Z,2023-08-22T04:00:00.000Z,45760,email_transfer,,,65998,,internal,active
450.00,2023-10-04T16:57:34.000Z,2023-10-02T04:00:00.000Z,57485,credit_card,,,66175,,internal,active
1689.35,2023-10-04T19:26:04.000Z,2023-10-04T19:25:16.000Z,32414,email_transfer,,,67302,,internal,active
6995.00,2023-10-04T19:33:25.000Z,2023-10-04T19:33:23.000Z,38712,cheque,,,67325,,internal,active
2141.35,2023-10-04T19:34:28.000Z,2023-10-04T19:34:24.000Z,55985,credit_card,,,67328,,internal,active
1689.35,2023-10-04T19:35:03.000Z,2023-10-04T19:34:59.000Z,58744,credit_card,,,67329,,internal,active
1689.35,2023-10-04T19:35:30.000Z,2023-10-04T19:35:26.000Z,63617,credit_card,,,67330,,internal,active
1124.35,2023-10-04T19:36:47.000Z,2023-10-04T19:36:43.000Z,56664,credit_card,,,67332,,internal,active
450.00,2023-10-04T19:41:30.000Z,2023-10-04T19:40:42.000Z,67323,credit_card,,,67347,,internal,active
6995.00,2023-10-04T20:03:19.000Z,2023-10-04T20:02:31.000Z,38712,cheque,Paid in Full ,,67732,,internal,deleted
600.00,2023-10-05T13:23:18.000Z,2023-10-05T13:22:25.000Z,59817,credit_card,,,68182,,internal,active
150.00,2023-10-05T13:50:59.000Z,2023-10-05T13:50:10.000Z,59071,credit_card,,,68305,,internal,active
1689.35,2023-10-05T15:15:56.000Z,2023-10-05T15:15:36.000Z,52994,credit_card,Payment was applied to account before taken by Mike,,68936,,internal,active
12595.00,2023-10-05T16:10:56.000Z,2023-10-05T16:10:50.000Z,52887,cheque,,,69092,,internal,active
200.00,2023-10-05T16:11:59.000Z,2023-10-05T16:11:02.000Z,45019,other,,,69097,,internal,active
12595.00,2023-10-05T16:12:07.000Z,2023-10-05T16:11:56.000Z,47204,cheque,,,69098,,internal,active
200.00,2023-10-05T16:12:49.000Z,2023-10-05T16:12:02.000Z,45088,other,,,69101,,internal,active
8995.00,2023-10-05T16:13:46.000Z,2023-10-05T16:13:11.000Z,40426,cheque,,,69104,,internal,active
1689.35,2023-10-06T14:53:51.000Z,2023-10-06T14:50:38.000Z,63630,credit_card,Visa,,71805,,internal,active
200.00,2023-10-06T16:24:43.000Z,2023-10-06T16:22:31.000Z,72061,credit_card,,,72064,,internal,active
1689.35,2023-10-06T17:22:29.000Z,2023-10-06T17:23:16.000Z,23685,credit_card,paid in full,,72745,,internal,active
1689.35,2023-10-10T13:55:51.000Z,2023-10-08T04:00:00.000Z,56157,email_transfer,,,74019,,internal,active
6000.00,2023-10-10T14:01:49.000Z,2023-10-10T14:01:31.000Z,64316,email_transfer,,,74059,,internal,active
995.00,2023-10-10T14:17:05.000Z,2023-10-06T04:00:00.000Z,58043,email_transfer,,,74251,,internal,deleted
10000.00,2023-10-10T14:34:54.000Z,2023-10-05T04:00:00.000Z,64316,email_transfer,,,74379,,internal,active
8995.00,2023-10-10T15:02:24.000Z,2023-10-05T04:00:00.000Z,51089,cheque,,,74508,,internal,active
4000.00,2023-10-10T15:03:35.000Z,2023-10-10T15:03:25.000Z,65539,cheque,,,74515,,internal,active
4000.00,2023-10-10T15:03:49.000Z,2023-10-10T15:03:44.000Z,65558,cheque,,,74516,,internal,active
3000.00,2023-10-10T15:04:01.000Z,2023-10-10T15:03:57.000Z,65567,cheque,,,74519,,internal,active
1124.35,2023-10-10T15:35:58.000Z,2023-10-10T15:35:48.000Z,68937,credit_card,,,74739,,internal,active
995.00,2023-10-10T15:39:43.000Z,2023-10-10T15:39:40.000Z,44008,cheque,,,74741,,internal,active
1689.35,2023-10-10T15:57:11.000Z,2023-10-10T15:57:02.000Z,51914,credit_card,,,74795,,internal,active
2141.35,2023-10-10T16:11:16.000Z,2023-10-10T16:11:10.000Z,65650,credit_card,,,74879,,internal,active
200.00,2023-10-10T16:11:30.000Z,2023-10-10T16:11:26.000Z,65656,credit_card,,,74881,,internal,active
1689.35,2023-10-10T16:13:06.000Z,2023-10-10T16:13:02.000Z,56027,credit_card,,,74885,,internal,active
1689.35,2023-10-10T16:30:24.000Z,2023-10-10T16:30:20.000Z,69062,credit_card,,,74923,,internal,active
8995.00,2023-10-10T16:30:41.000Z,2023-10-10T16:31:31.000Z,51624,bank_transfer,,,74924,,internal,active
8995.00,2023-10-10T16:31:17.000Z,2023-10-10T16:31:12.000Z,61829,credit_card,,,74925,,internal,active
950.00,2023-10-10T18:23:06.000Z,2023-10-10T18:21:54.000Z,17362,credit_card,Visa,,75936,,internal,active
6145.00,2023-10-10T18:43:46.000Z,2023-10-04T04:00:00.000Z,17353,cheque,As per financials in Blue Database,,76030,,internal,deleted
8000.00,2023-10-10T18:48:04.000Z,2023-10-10T18:47:07.000Z,23608,cheque,,,76031,,internal,deleted
13045.00,2023-10-10T19:27:56.000Z,2023-10-10T19:27:51.000Z,74908,credit_card,,,76184,,internal,active
1689.35,2023-10-11T13:16:32.000Z,2023-10-11T13:16:20.000Z,25168,credit_card,,,77379,,internal,active
950.00,2023-10-11T13:31:19.000Z,2023-10-11T13:31:09.000Z,55899,email_transfer,,,77417,,internal,active
16000.00,2023-10-11T13:46:52.000Z,2023-10-10T04:00:00.000Z,36024,cheque,Bank Draft,,77479,849589,internal,active
13000.00,2023-10-11T13:50:12.000Z,2023-10-10T04:00:00.000Z,36781,cheque,,,77534,432291,internal,active
10500.00,2023-10-11T13:55:49.000Z,2023-10-11T13:55:37.000Z,19346,other,Lendcare,,77584,,internal,active
8995.00,2023-10-11T13:58:39.000Z,2023-10-11T13:58:29.000Z,31298,other,Lendcare,,77656,,internal,active
8995.00,2023-10-11T14:11:11.000Z,2023-10-03T04:00:00.000Z,40512,cheque,Bank Draft,,77797,7138408,internal,active
1689.35,2023-10-11T14:37:06.000Z,2023-10-11T14:37:02.000Z,74755,credit_card,,,77914,,internal,active
6995.00,2023-10-11T14:44:25.000Z,2023-10-11T14:44:19.000Z,46179,credit_card,,,77928,,internal,active
300.00,2023-10-11T14:46:56.000Z,2023-10-11T14:46:30.000Z,75076,credit_card,,,77932,,internal,active
900.00,2023-10-11T17:12:29.000Z,2023-10-11T17:12:22.000Z,78186,credit_card,,,79046,,internal,active
1124.35,2023-10-11T17:26:53.000Z,2023-10-11T17:26:48.000Z,46221,credit_card,,,79169,,internal,active
